Date/Time,Word Count,en,fr-FR,ko-KR,pt-BR,ru-RU,zh-TW
2023.07.16-16.25.50,143,143,0,0,0,0,0
2025.10.17-09.40.31,136,136,0,0,0,0,0
2026.01.19-12.27.10,216,216,0,0,0,0,0
2026.01.19-13.20.22,184,184,0,0,0,0,0
2026.03.01-23.22.21,184,184,81,92,92,31,92
